"","BTN2A2","BTNL3","BTNL9","CEACAM1","IDO1","TDO2","VTCN1","ADORA2A","BTN3A1","CD276","CD274","PDCD1LG2","PDCD1","CD28","CD80","CD86","CTLA4","ICOS","ICOSLG","CD160","BTLA","TNFRSF14","TNFSF14","TNFSF9","TNFRSF9","TNFSF4","TNFRSF4","CD70","CD27","CD40","CD40LG","HAVCR2","LGALS9","TNFSF18","TNFRSF18","CD47","SIRPA","CD226","CD96","TIGIT","PVR","BTN2A1","CD209","HLA-DOB","HLA-G","KIR2DL1","KIR2DL3","KIR2DL4","KIR3DL2","HLA-A","HLA-B","HLA-C","HLA-DMA","HLA-DMB","HLA-DOA","HLA-DPA1","HLA-DPB1","HLA-DQA1","HLA-DQB1","HLA-DRA","HLA-DRB1","HLA-DRB5","HLA-E","HLA-F","LAG3","KIR2DS4","KIR3DL1","KIR3DL3"
"TCGA-DD-AADK-01A",2.1925,0.1428,0.6796,21.377,0.2745,38.918,0.1479,0.5016,2.6155,5.9547,0.112,0.2557,0.3795,0.308,0.0619,0.8249,0.4707,0.2506,0.2969,0.0501,0.1137,7.1206,2.5183,0.9361,0.1859,0.7625,2.1809,0.2113,0.9783,11.5822,0.7856,1.0144,3.752,0.0248,11.056,6.5063,9.6334,0.0637,0.5088,0.3634,10.3127,3.425,0.1916,0.7393,2.1655,0.0073,0.0312,0.0361,0.0464,226.2087,282.5884,187.6849,16.0923,2.3912,1.7373,4.8959,15.0361,3.9459,8.8779,172.4491,127.4017,16.3155,109.3159,7.9916,0.4558,0.0387,0,0
"TCGA-BC-A216-01A",2.2833,1.6418,1.5896,6.9164,0.4518,75.606,0.0245,0.5088,8.3373,7.8998,0.519,0.1753,7.5322,0.9336,0.1789,0.8253,3.0407,0.6978,0.0456,0.1541,0.2722,22.9029,14.1639,0.3063,1.2984,0.6596,0.7751,0.5695,2.1456,11.6851,0.2803,3.7516,3.2964,0.0369,0.6564,8.0108,22.7349,0.1507,1.659,2.8915,11.6316,5.5856,0.6846,1.1022,1.346,0.0657,0.7453,1.6345,0.0691,460.7601,554.7983,255.8823,24.2034,3.7777,1.5344,17.3228,21.4073,1.3359,5.0278,233.3142,167.3165,42.1052,192.2397,30.9509,7.5101,0.0807,0.0694,0.011
"TCGA-DD-AADV-01A",1.7502,0.0062,1.0392,18.9289,0.3002,40.3691,0.0251,0.3766,5.8951,9.2308,0.2622,0.4679,0.1447,0.4908,0.0425,1.1302,0.0709,0.0462,0.1153,0.0841,0.042,7.1365,3.568,0.5664,0.0525,1.1678,1.2336,0.0496,0.2181,15.1071,0.2868,1.3038,2.1138,0.0831,0.2388,7.0431,5.3537,0.1677,0.3779,0.1295,9.0423,4.0988,0.8216,0.4009,1.0586,0.0269,0.0286,0.0264,0.0647,239.1734,296.9167,564.5127,10.531,2.4373,3.4518,22.1265,20.4413,5.8705,4.9907,218.806,112.6951,36.2825,206.3409,4.6593,0.5362,0.0849,0.0162,0
"TCGA-DD-AAE7-01A",1.0402,0.0276,1.9214,17.1315,0.5204,106.5455,0.2887,0.0882,2.3484,6.5974,0.3273,0.235,0.4648,0.1583,0.0209,0.7921,0.3455,0.115,0.1403,0.1354,0.2607,5.2589,3.0378,0.0617,0.0688,0.1781,0.8784,0.0439,0.7882,4.5332,0.3811,1.6534,2.1294,0.0335,0.4231,3.4249,5.1398,0.1353,0.7714,0.2207,10.1917,2.3521,0.2437,0.3416,1.3346,0.0199,0.1267,0.0975,0.0895,156.3656,182.8506,179.3105,9.977,2.1495,1.762,9.1574,20.681,5.7624,3.9411,202.5116,96.7619,41.1953,124.3495,10.1733,1.3419,0.0627,0.0898,0
"TCGA-DD-AACX-01A",2.2026,0,1.0571,15.0695,0.8118,100.1517,0.0432,0.7485,8.4307,11.2121,0.3711,0.0806,0.3739,0.6688,0.061,0.7731,0.0814,0.0248,0.1352,0.0768,0.0362,18.0787,10.4301,1.9328,0.048,0.3737,0.5945,0.1566,0.1483,6.4625,0.0588,0.7527,1.3989,0.0325,0.1371,2.8568,3.5547,0.0096,0.1511,0.0965,12.0047,3.7154,1.5149,0.0332,1.4207,0.0129,0.0547,0.0884,0.0116,452.232,628.9138,635.1376,49.2569,6.4402,0.8522,17.0289,16.1081,2.4651,1.9897,284.2679,215.5549,59.5568,233.1087,26.6414,0.4276,0,0,0
"TCGA-DD-AADQ-01A",2.6024,0,1.1594,10.4546,1.5157,48.271,0,0.1047,12.2419,3.5495,0.3791,0.1173,0.4394,0.1796,0.0546,0.4915,0.3485,0.1418,0.0681,0.0497,0.0304,6.0531,7.1227,1.4499,0.0898,0.2048,1.6689,0.2437,0.1493,3.3154,0.1658,0.6898,1.7353,0.0437,1.1564,3.8232,18.9898,0.0305,0.1249,0.3782,5.7955,5.8854,0.5218,0.379,15.7032,0.0778,0.0551,0.0636,0.0234,2317.3678,2932.0324,1720.7694,88.3668,4.5415,0.4017,16.9834,16.9843,1.4565,3.5205,705.0758,445.3659,89.4511,720.909,193.3777,0.6891,0.0682,0.0117,0
"TCGA-DD-A39W-01A",1.0844,0.0081,2.9491,15.8896,5.3893,0.6346,0,0.7548,2.4623,5.6068,0.2213,0.4064,0.1225,0.1619,0.0431,0.6326,0.1385,0.1203,0.0381,0.0747,0.0493,5.7878,0.1282,0.121,0.1027,0.2394,0.9757,0.0129,0.3439,0.9566,0.1067,0.5969,1.2142,0.0984,0.311,0.3529,6.739,0.0347,0.2462,0.1752,10.0842,4.0869,0.1075,0.0703,0.4933,0,0,0,0.0316,138.5178,79.8651,123.0294,6.6123,1.4012,1.874,13.4596,8.5243,4.8303,11.6285,129.1329,98.5907,47.9928,118.2398,2.776,0.2652,0.1967,0.0634,0
"TCGA-DD-A1EJ-01A",1.5672,0,0.2667,15.9462,0.0456,21.9313,0.0088,0.765,0.8752,21.2645,0.2031,0.2342,0.4674,0.6643,0.0989,2.6976,0.1857,0.0856,0.1631,0.02,0.0257,6.1956,0.2494,0.0486,0.0438,6.484,1.5384,0.0433,0.2605,2.2855,0.1216,3.1258,3.0065,0.0858,0.3439,0.7062,17.8306,0.0291,0.4406,0.1283,12.5307,3.55,1.4104,0.0337,0.3231,0,0,0.0077,0,156.2167,65.2166,33.1635,10.6961,3.0838,4.063,32.3575,18.4045,4.1451,7.1358,291.2802,97.6749,49.7283,87.7628,1.5471,0.4854,0.0082,0,0
"TCGA-DD-AAED-01A",1.2444,0,0.1869,22.0608,0.0745,1.7101,0.0107,1.7684,3.2914,10.2377,0.1108,0.1603,0.7903,0.2794,0.0506,1.0117,0.4556,0.1112,0.0244,0.0491,0.009,20.416,20.1646,0.3779,0.0358,1.107,1.4531,0.0212,0.0737,8.3789,0.193,3.2376,5.1982,0.0971,1.3807,38.8279,18.2121,0.0286,0.3238,0.096,17.6875,3.5269,0.8982,1.0898,1.2166,0,0,0.1131,0,241.9431,51.5151,38.849,8.1759,1.4653,0.2853,0.5993,6.4845,1.6525,2.5314,28.9184,23.6921,44.5343,94.9896,6.6049,1.2761,0,0.0347,0
"TCGA-CC-A9FW-01A",1.9794,0,0.2742,11.4212,1.1085,3.1032,0.0059,0.0804,2.1967,13.1618,0.2245,0.124,0.6005,0.3413,0.0331,0.7844,0.92,0.2765,0.1025,0.0581,0.0835,6.417,1.3952,0.1194,0.3071,0.4565,2.2763,0.0696,0.7513,1.0131,0.2586,0.9719,1.76,0.2915,2.2607,5.4886,18.7063,0.0519,0.4134,0.5242,16.3434,6.5195,0.4541,0.3425,0.3119,0.0105,0.0111,0.1235,0.0756,221.8654,95.8933,397.5716,5.4618,1.0074,0.6495,3.5455,5.5567,3.5303,3.888,72.5008,66.0543,5.619,85.4966,9.5363,1.1898,0.0331,0,0
