"","BTN2A2","BTNL3","BTNL9","CEACAM1","IDO1","TDO2","VTCN1","ADORA2A","BTN3A1","CD276","CD274","PDCD1LG2","PDCD1","CD28","CD80","CD86","CTLA4","ICOS","ICOSLG","CD160","BTLA","TNFRSF14","TNFSF14","TNFSF9","TNFRSF9","TNFSF4","TNFRSF4","CD70","CD27","CD40","CD40LG","HAVCR2","LGALS9","TNFSF18","TNFRSF18","CD47","SIRPA","CD226","CD96","TIGIT","PVR","BTN2A1","CD209","HLA-DOB","HLA-G","KIR2DL1","KIR2DL3","KIR2DL4","KIR3DL2","HLA-A","HLA-B","HLA-C","HLA-DMA","HLA-DMB","HLA-DOA","HLA-DPA1","HLA-DPB1","HLA-DQA1","HLA-DQB1","HLA-DRA","HLA-DRB1","HLA-DRB5","HLA-E","HLA-F","LAG3","KIR2DS4","KIR3DL1","KIR3DL3"
"TCGA-DD-A39X-11A",0.4218,0.0309,0.1192,7.8582,0.1772,84.5305,0.0946,0.1511,2.0386,5.5055,0.2569,0.3595,0.1294,0.0833,0.0328,0.6535,0.0493,0.0573,0.0936,0.2202,0.0334,4.2543,2.3559,0.083,0.0071,0.1864,0.035,0.0099,0.1711,6.4763,0.2686,1.0185,1.4643,0,0.0237,2.9935,7.296,0.106,0.2709,0.1213,3.7998,1.7436,0.7787,0.2145,0.7012,0,0.0095,0.0437,0.0883,113.3834,107.5079,109.9664,4.5825,1.268,1.6146,11.0129,11.0194,4.2754,4.7342,91.4952,87.1779,10.3358,102.6342,4.0807,1.2629,0,0.0806,0
"TCGA-BC-A10R-01A",0.3592,0,1.8993,11.7327,0.0366,27.7122,0.4324,0.4457,1.7029,10.1142,0.1282,0.3609,0.1142,0.1862,0.0397,0.7569,0.0522,0.0182,0.0103,0.0442,0.0177,9.1825,0.0367,0.7228,0.0226,0.9142,2.0761,0.0209,0.0483,12.6176,0.112,0.9242,3.363,0.1113,0.3516,3.3436,19.1189,0.0946,0.0937,0.0393,5.8889,2.103,0.5966,0.1054,0.2716,0.0189,0,0.0093,0,52.0506,81.4102,133.6539,8.8478,1.8303,2.0776,12.3034,11.2168,3.2069,1.5492,125.5911,66.2436,13.496,107.3086,2.9331,0.1462,0,0,0
"TCGA-BC-A3KF-01A",2.0183,0.0117,2.5393,30.1304,0.0818,96.7342,0.0094,0.361,4.8765,17.1032,0.33,0.2171,0.1429,0.5258,0.0178,0.6933,0.04,0.0597,0.0825,0.0826,0.0356,8.0441,1.8657,0.1834,0.0247,1.127,0.6132,0.0373,0.1727,12.8934,0.6087,0.5597,1.6631,0.1563,0.1235,4.1538,8.316,0.0543,0.3732,0.0843,2.6886,3.5794,0.8405,0.4133,1.6753,0.0253,0,0.0414,0.0076,506.6878,458.7666,477.7211,6.0812,1.0517,0.5619,10.7016,5.943,1.6543,2.0425,93.045,47.2297,8.9722,451.5505,17.5921,0.7471,0.0266,0.0153,0
"TCGA-RG-A7D4-01A",6.9021,0,0.7896,5.7144,1.0119,0.3477,0.1727,0.337,12.6455,8.9902,0.6301,0.9891,6.9322,0.942,0.1627,3.2634,3.6408,1.1432,0.042,0.1514,0.6084,10.0142,2.166,0.72,1.5184,0.4486,3.6743,0.8715,5.7156,8.1724,1.2141,4.4363,4.4887,0.1302,2.777,7.3127,11.4508,0.2776,1.7722,2.73,7.4046,8.0293,0.5153,5.8987,6.0952,0.0309,0.0328,1.0009,0.1672,920.7426,767.8737,1039.0476,162.4335,16.4479,34.7884,151.737,97.5971,15.8741,114.3541,1736.9036,1112.1474,716.363,422.1829,31.3078,9.7104,0,0.0699,0
"TCGA-G3-AAV4-01A",5.0803,0.0201,4.9161,7.7464,2.935,0.7089,0,0.4336,16.8642,3.502,0.5438,0.5754,0.0819,0.191,0.1605,1.1428,0.0115,0.0187,0.0342,0.0495,0.0204,10.1846,0.2003,1.3372,0.0386,0.2106,2.1527,0.0642,0.0371,18.3367,0.4639,0.8713,2.5563,0.11,0.1545,0.5784,11.6433,0.0557,0.2533,0.0524,15.3787,7.0336,0.2781,0.0873,1.0861,0.0145,0,0.057,0.0131,578.2996,863.3435,979.1897,10.4238,1.3251,1.0221,11.8776,7.9685,2.675,5.8821,106.8022,109.3043,68.3655,535.7037,33.4647,1.1809,0,0.0262,0
"TCGA-2Y-A9H7-01A",1.5631,0,1.3467,10.0567,0.3471,41.3102,0,0.4564,2.6038,23.5975,0.0854,0.1082,0.159,0.3089,0.0273,0.582,0.123,0.1134,0.1052,0.0442,0.0923,12.6646,2.0445,0.043,0.0249,0.124,0.591,0.0573,0.3053,1.1553,0.7674,0.6992,1.2313,0.0612,0.4279,4.1168,9.4823,0.0565,0.3402,0.0432,8.9482,3.2941,0.2266,0.2051,0.4976,0.0104,0,0.0305,0,115.9675,98.547,80.4552,7.2966,1.7534,2.4292,22.3407,20.1963,5.5239,12.1036,173.5916,99.3331,73.3114,60.9943,5.7129,0.4019,0.0109,0.0094,0
"TCGA-DD-A11D-01A",1.2799,0.0702,2.0509,30.4438,0.5108,124.3902,0.0113,0.3026,4.8434,9.8375,0.2752,0.2395,0.049,0.2946,0.032,0.4685,0.048,0.0651,0.1174,0.1035,0.0095,3.2174,1.9138,0.021,0.0162,0.2767,2.4075,0.0224,0.0778,5.8033,0.444,0.448,2.7343,0.0853,0.3504,4.5273,43.3517,0.0652,0.3413,0.0731,9.4843,2.4699,0.6287,0.0348,0.7579,0.0405,0,0.0199,0.0183,286.7554,707.027,613.4308,3.8069,0.9507,0.5242,7.6357,6.4365,1.802,0.7965,67.8915,35.2661,7.154,178.0429,16.3174,0.157,0.0639,0.0183,0
"TCGA-DD-A4NB-01A",1.6126,0,1.5285,8.2659,0.5515,60.3865,0.065,0.0052,5.2882,9.518,0.4683,0.5033,0.8756,0.4385,0.0816,1.4691,0.4903,0.2078,0.0211,0.1156,0.1332,3.3391,6.8733,0.495,0.1617,1.3072,1.701,0.1,0.8598,6.9193,1.1567,3.4776,2.9036,0.8927,0.4816,4.6883,14.3669,0.2272,1.6644,0.201,6.1405,4.8082,0.8864,0.1444,1.7234,0,0,0.0254,0.0349,209.4436,210.6833,237.8949,10.0968,2.6915,3.1415,21.5434,20.9256,6.4691,4.2212,228.3955,95.6,28.9064,163.0153,7.5329,0.937,0.0544,0.0234,0
"TCGA-BD-A2L6-11A",2.5767,0.0071,2.0995,10.2262,5.0771,90.6321,1.8211,0.1233,7.5885,6.8849,1.4006,2.5712,1.2404,1.5834,0.5576,7.0871,1.2719,1.4148,0.0111,0.7158,0.8017,11.1325,3.4165,0.2425,0.5422,0.7477,2.1508,0.5967,1.9155,13.0377,5.2089,8.1466,10.0362,0.2059,1.1385,6.9082,15.1796,0.8626,5.259,1.021,5.9352,4.5989,2.1972,1.6456,2.8141,0.0102,0.0325,0.0999,0.0275,564.4247,648.9003,526.6342,47.5232,15.1278,22.1477,134.9647,82.3058,30.849,35.6578,1247.1059,562.4047,132.8368,357.9182,24.6999,2.4521,0.075,0.0644,0
"TCGA-DD-AADJ-01A",0.8289,0.0772,0.9816,8.6076,0.7198,34.4516,0.0104,0.4044,1.2747,9.5369,0.1375,0.1419,0.2245,0.1028,0.0195,0.7852,0.2346,0.0477,0.037,0.0079,0.0609,4.7332,2.1008,0.0576,0.0198,0.4672,2.0046,0.0615,0.1424,1.0705,0.3389,0.7816,2.7954,0.0313,0.8889,3.6321,10.1039,0.0345,0.2791,0.0927,8.6096,3.0661,0.0853,0.1435,1.5486,0.0185,0.0197,0,0.0167,224.0242,129.9583,156.757,5.7408,1.2109,1.708,10.8754,18.8938,4.2447,3.7499,124.4663,90.7738,20.6364,80.3868,9.6144,0.4929,0.0781,0,0
"TCGA-MI-A75G-01A",0.6529,0.5632,1.8401,18.1084,0.0917,39.7778,0.0186,0.2829,3.4481,5.9209,0.229,0.0774,0.0897,0.2003,0.0117,0.2464,0.0703,0.0286,0.1773,0.0142,0.0052,6.6353,0.2874,0.0345,0.0326,0.2896,1.3659,0.0615,0.0854,18.0702,0.1118,0.4159,1.0077,0.0281,0.1925,3.2176,17.6056,0.0124,0.1004,0.0556,18.1871,2.5937,0.422,0.0382,0.9606,0.0222,0,0,0.01,146.8038,161.569,445.345,11.3422,0.8403,0.2549,2.9528,4.724,0.6479,0.6715,33.5189,22.0317,4.7869,189.0477,10.082,0.3941,0.0117,0,0
"TCGA-BC-A10U-11A",0.3134,0.0149,0.7996,8.5233,0.1934,64.7668,1.3792,0.0435,1.0335,12.0186,1.9482,0.3898,0.1652,0.209,0.0794,0.9442,0.1363,0.0555,0.0098,0.0597,0.0404,2.5562,1.3044,0.1227,0.1176,0.0736,0.2012,0.0834,0.2069,3.1313,0.1477,1.9355,1.1614,0.0363,0.2725,3.423,16.3366,0.0934,0.3633,0.1137,13.4772,1.4827,0.888,0.0926,0.4033,0.0215,0,0.0529,0.0097,90.723,97.5367,58.3862,4.6662,0.8062,1.3032,10.3745,9.9497,2.1295,1.8365,115.8177,49.3668,23.7145,128.9625,2.4632,0.9366,0,0.0097,0
"TCGA-CC-5262-01A",1.015,0,0.2816,18.4994,0.319,30.5093,0.3301,0.271,3.1647,19.3098,0.4919,0.5228,0.314,0.581,0.2261,1.6054,0.4032,0.3022,0.1896,0.04,0.0629,6.813,2.1329,0.2084,0.2037,0.338,4.1668,0.1187,0.4294,11.6188,0.7356,2.7287,8.4999,0.441,1.983,7.7875,21.7993,0.0698,0.7554,0.3169,11.8967,3.8973,0.8436,0.1269,2.3956,0,0.0856,0.0263,0,647.1943,503.0376,391.5215,16.9215,3.8886,2.147,9.6663,21.0409,9.989,5.5608,221.4769,203.7648,19.6363,201.9703,16.7231,0.847,0.0282,0,0
"TCGA-DD-AAW1-01A",2.1312,0.0222,2.4608,10.7373,0.1657,3.4926,0.0895,0.4526,4.7342,6.2198,0.3121,0.2525,0.0603,0.2736,0.0337,0.4677,0.0169,0.0069,0.0097,0.0409,0.015,3.6765,0.7934,0.1658,0.9777,0.2917,0.3776,0,0.1503,4.4989,0.078,0.3936,1.7352,0.054,0.1137,6.0404,8.7112,0.0251,0.0514,0.0267,5.0732,2.3558,0.4092,0.1377,1.1371,0.0107,0.034,0.0419,0.0577,230.6206,299.0426,281.0922,16.8201,1.245,0.7112,3.5127,5.6199,1.3959,1.219,98.6037,71.4609,19.9959,215.3037,7.4625,0.2187,0.0786,0.029,0
"TCGA-G3-A7M7-01A",1.0652,0,1.221,12.6151,0.0132,70.5017,0.2671,0.0772,1.4431,7.6826,0.0562,0.038,0.0551,0.0946,0.0216,0.3226,0.054,0.0351,0.0915,0.0058,0.0192,6.5604,1.334,0.509,0.0218,0.2798,1.033,0.0453,0.0699,3.4549,0.262,0.6329,1.6294,0.023,0.3999,2.7749,9.1954,0.0203,0.1644,0.0607,13.1615,1.9217,0.3716,0.1174,0.7862,0,0,0.0134,0.0246,137.6525,202.914,346.1064,11.1113,1.0567,0.3651,3.3199,4.2516,0.9499,0.4617,62.4923,47.4271,7.0786,131.1205,4.2029,0.1058,0.0144,0.0123,0
"TCGA-DD-A4NP-01A",0.7785,0.0106,1.7908,5.1492,0.0855,0.8107,0.0171,0.0991,4.8008,3.767,0.1389,0.1013,0.0247,0.0744,0.0242,0.3925,0,0.0148,0.0139,0.1111,0.0216,6.9811,4.806,0.0476,0.3573,0.1146,0.3013,0.0085,0.0687,5.4129,0.056,0.4281,1.2508,0.0258,0.0612,5.1861,5.7936,0.0437,0.1108,0.0511,2.7653,1.8291,0.6406,0.0659,1.4568,0.0307,0.0326,0.0075,0.0276,331.984,430.0032,209.7325,10.0683,1.0854,0.5206,11.2745,8.2593,0.9102,1.8066,118.1407,87.5919,22.6119,224.0401,21.6292,0.2971,0.0242,0.0555,0
"TCGA-MI-A75E-01A",1.3768,0.3254,0.3459,17.7614,0.3413,36.9546,2.7594,0.251,4.0439,9.2829,0.3767,0.3263,0.7569,0.4305,0.0803,1.1372,0.1205,0.1132,0.1083,0.05,0.1099,11.2773,1.9549,0.1093,0.0624,0.3504,2.3849,0.0908,0.7504,5.3987,0.9963,1.606,4.3923,0.1284,0.9054,4.8865,16.794,0.1264,0.7518,0.2378,8.7194,3.0805,0.3506,0.5141,2.2394,0,0.0249,0.023,0.0423,346.9767,500.8955,367.507,16.7851,2.8558,3.6375,24.8757,23.5213,8.2985,10.6117,226.5628,128.0627,31.2834,186.0812,20.1524,0.3636,0,0.0636,0
"TCGA-G3-A7M8-01A",1.291,0.0082,3.02,6.1594,0.0749,69.5576,0.9626,0.1295,4.2521,3.6255,0.5821,0.2975,0.1054,0.2057,0.0751,0.9297,0.0563,0.0153,0.1312,0.0405,0.0167,4.8019,3.0186,0,0.0063,0.5324,0.3268,0,0.1216,2.6465,0.0109,1.4515,3.0352,0.04,0.1897,3.207,13.3136,0.0456,0.1001,0.066,5.6749,2.3402,0.6829,0.0511,1.5958,0.0238,0,0.0816,0.0214,187.7986,199.7551,162.3481,8.3654,1.9125,0.7561,4.9541,9.3515,2.2277,5.1675,111.1264,117.8133,75.69,105.9964,8.5368,0.6247,0.0125,0,0
"TCGA-DD-AACL-01A",1.625,0,0.4179,10.421,1.8991,29.1334,0.0145,0.2722,2.6056,12.7231,0.566,0.9921,3.096,0.5388,0.314,5.5647,1.9064,0.5838,0.0235,0.1105,0.3159,8.5561,1.6886,0.5101,0.6421,1.915,5.1713,0.7741,2.9532,8.1783,0.3079,7.9348,11.6308,0.1311,5.3496,12.9832,25.5396,0.1445,1.1004,0.9651,10.6682,3.6141,9.2623,2.2513,3.6576,0.0519,0.1653,0.3817,0.1169,525.0097,409.8842,443.6725,33.0046,7.1416,4.1369,41.8215,54.1573,23.5171,24.3665,618.0848,417.4307,89.1023,252.602,19.0716,5.6843,0.2728,0.0234,0
"TCGA-ZP-A9D0-01A",0.4375,1.9288,2.2819,29.3791,0.1059,20.071,0.0514,0.2413,2.4005,10.5921,0.0946,0.1679,0.0464,0.0995,0.0363,0.4129,0.1181,0.1183,0.025,0.0636,0.0054,5.3264,2.4238,1.4276,0.0428,0.8584,0.5306,0.0381,0.1176,0.6631,0.1155,0.3813,1.9562,0.0871,0.2294,3.4186,8.1884,0.0825,0.0968,0.0638,11.0778,2.4177,0.1894,0.158,1.7752,0.0115,0,0.0113,0.0104,87.3416,88.8443,178.0962,3.6411,0.8681,1.0093,7.8597,6.3024,3.2705,3.0483,72.1794,52.7509,6.7027,84.4043,4.0861,0.9732,0.0121,0,0
"TCGA-K7-A5RF-01A",1.3821,0,0.9944,15.5248,0.3484,150.0561,1.4675,0.19,5.0578,10.7597,0.6223,1.2579,0.8793,0.4504,0.3717,3.2799,0.2448,0.3665,0.1234,0.0633,0.0522,6.8734,0.4866,0.5642,0.1616,0.2221,0.937,0.1506,1.4107,7.4888,0.4978,3.1118,8.251,0.3131,1.0057,5.6952,14.964,0.2255,0.7157,0.6571,7.6558,2.7721,0.7406,0.2342,2.3652,0,0.0263,0.1823,0.0447,433.6739,502.5159,743.6967,12.8716,2.839,2.6856,22.2698,14.2407,5.2453,6.6741,220.9749,209.6914,27.6758,273.2598,20.7838,3.97,0.0261,0.0112,0
"TCGA-BC-A10W-01A",2.5145,8.5807,0.6505,11.6104,0.0981,25.7062,1.2546,0.14,4.8377,12.669,0.4126,0.4356,0.4508,0.2769,0.279,2.2811,0.8454,0.3161,0.0628,0.0616,0.0135,3.1477,9.1863,0.6983,0.2386,1.1927,3.3413,0.0426,0.4192,2.0495,0.1936,2.6895,3.5628,0.1867,1.2183,10.8874,13.031,0.0477,0.377,0.2997,9.5022,4.4805,2.6772,0.1574,0.3791,0,0.0307,0.1229,0.0087,157.9237,182.8008,246.3504,15.161,5.5509,4.6155,37.7115,26.1939,5.0203,5.3113,421.5045,135.0635,56.2003,98.6666,7.5434,0.4587,0,0.0087,0
"TCGA-DD-A114-11A",2.5578,0.1983,0.2609,16.4129,1.4443,114.2129,0.755,0.1712,8.9506,7.4887,1.2182,1.7422,1.1455,0.8981,0.1869,2.8344,0.7094,0.5962,0.1286,0.6133,0.2126,6.8453,1.375,0.2859,0.3991,0.4209,0.8234,0.0763,1.388,10.3225,1.207,3.007,7.0212,0.1662,0.42,8.5676,18.2598,0.3432,2.0893,0.9531,7.1562,3.7838,1.5948,1.1019,3.5956,0.5915,0.0733,0.1645,0.3288,1099.3152,1391.9351,769.2042,18.1179,4.4588,5.8115,48.0884,35.433,23.0167,16.6066,433.7719,345.6553,39.0747,346.4117,55.7467,2.6147,0.0207,0.5171,0.0888
"TCGA-DD-AAD6-01A",2.0155,0,1.6672,17.3993,0.1516,0.2396,0,0.301,2.1445,9.988,0.099,0.0502,0.0388,0.4414,0.1266,0.7575,0.3041,0.0309,0.0174,0.0205,0.0225,4.8012,0.0596,0.0249,0.0064,0.0411,0.8741,0.0532,0.0615,4.7924,0.1977,0.8992,1.6018,0,0.256,1.4228,5.8019,0.0089,0.1665,0.0334,12.4613,4.0174,0.4055,0.4134,0.6461,0,0,0.0236,0.0217,161.7862,44.1051,50.3014,23.7457,0.7584,0.1735,0.6016,2.0254,0.987,1.2277,24.4926,20.5879,1.5295,68.4669,3.3939,0.2529,0.0253,0,0
"TCGA-DD-AACD-01A",1.6255,0,0.9186,5.3708,0.2429,12.7123,0.017,0.1777,5.3128,5.1525,0.1063,0.2323,0.098,0.1892,0.0879,1.4345,0.192,0.0488,0.0275,0.0323,0.064,11.4291,0.6178,1.4144,0.0364,0.1037,1.4763,0.151,0.0971,3.2696,0.2496,1.8148,4.5973,0.0128,0.9091,8.2019,6.5892,0.0376,0.3746,0.1054,13.1297,1.5189,0.7563,4.8669,11.6521,0,0.0806,0.0447,0.1231,1728.475,2613.7766,851.3699,234.5493,14.5509,1.7196,50.3605,96.8519,7.3569,41.6069,1084.7244,1604.9908,136.6704,590.1187,71.6494,0.5462,0.016,0,0
"TCGA-DD-A4NH-01A",2.6319,0.0092,0.5032,19.447,0.4751,12.7319,0.0518,0.2672,9.6822,30.0349,0.4034,0.4235,0.6727,0.275,0.0836,1.3161,0.5964,0.1362,0.0336,0.1523,0.0372,21.8019,22.4721,2.9327,1.5436,2.9099,2.5097,0.1024,0.1863,1.8475,0.4595,1.8753,7.1559,0.223,1.1452,15.9771,41.2161,0.1082,0.4223,0.1544,17.0826,9.6854,0.4211,0.6827,1.7655,0.0132,0.0141,0.052,0,690.8432,827.9402,565.7769,6.7533,1.7961,0.8537,8.4108,7.517,3.1492,5.8584,86.3656,45.1128,10.623,229.6794,32.6,0.5862,0,0,0
"TCGA-DD-AADS-01A",0.9656,0.057,0.8504,4.9343,0.4468,16.51,0.0368,0.186,2.1101,6.0206,0.2642,0.3433,1.2342,0.3418,0.0953,1.7003,1.3914,0.3386,0.0626,0,0.0925,10.0816,2.1017,0.1192,0.2409,0.1896,0.9696,0.2183,0.1895,16.4808,0.1953,2.0967,7.3346,0.0554,2.1895,4.5457,7.7922,0.0367,0.3466,0.6396,18.5691,0.6834,0.5989,1.5696,9.1078,0,0,0,0.1631,1406.3073,1105.8436,790.0334,22.4506,3.2697,2.3522,7.4606,23.7998,5.2237,9.5221,141.9614,366.0961,157.5987,313.7808,93.2176,4.4256,0,0,0
"TCGA-ED-A7PX-01A",3.875,0,0.0927,1.6388,0.197,9.2096,8.8471,0.0117,8.6903,26.7226,0.251,0.3835,3.4882,0.2311,0.3132,1.8997,0.1376,0.084,0.0631,0.1422,0.0068,9.8281,4.3804,1.5323,0.2163,1.3441,1.9529,0.0963,0.4085,2.4245,0.2121,3.1333,59.214,0.7335,1.8733,12.9231,21.2238,0.0809,0.3057,0.1773,20.1549,11.4079,0.0723,0.1746,7.8805,0.0145,0.0463,0.0997,0.0262,1247.1888,1515.299,982.526,8.3185,2.6712,2.0686,8.2163,13.9561,6.0555,4.9453,161.3281,72.4411,33.1869,431.8068,55.4472,0.4177,0,0,0
"TCGA-G3-A3CH-11A",0.8097,0.0574,0.3811,7.1044,0.6996,121.0972,0.4031,0.191,2.5062,5.8418,0.4675,1.1104,1.1351,0.3317,0.1245,1.7227,0.4767,0.3727,0.0707,0.3274,0.2438,5.7349,0.4268,0.049,0.1417,0.3281,0.2323,0.0915,1.1197,6.0461,0.648,1.9617,3.7598,0.01,0.4564,3.712,10.1649,0.2006,1.1637,0.6305,5.9832,2.1656,1.5227,0.2541,1.5771,0.0118,0.1759,0.0928,0.1705,221.059,365.9236,297.7471,9.7792,2.3676,2.3129,17.0172,18.3942,3.3944,2.9531,228.3462,91.161,44.3107,157.3405,11.7422,2.52,0.2115,0.0748,0
"TCGA-DD-A3A2-01A",0.6712,0,0.8802,2.0445,0.1836,6.5724,0.0062,0.2068,2.1081,2.7209,0.2751,0.1936,0.0449,0.0308,0.0059,0.3288,0.0176,0.0143,0.006,0.1755,0.0157,6.19,0.5201,0.0346,0.0237,0.2471,0.2078,0.0123,0.0997,0.8591,0.1424,0.5805,1.2756,0,0.1037,2.4016,10.9612,0.0648,1.176,0.0835,15.3929,2.0688,0.3115,0.134,0.4059,0,0,0.0109,0.01,135.5594,112.8885,173.4754,2.982,0.5838,0.4157,4.7018,3.3253,1.1465,2.911,39.2263,41.2988,41.6747,92.0533,2.226,0.6902,0.0117,0,0
"TCGA-DD-AAE9-01A",4.4406,0.0332,2.1419,11.5053,0.5926,2.4022,0.0402,0.7545,10.3828,5.7001,0.0789,0.1,0.0966,0.4231,0,0.4717,0.1326,0.0462,0.0694,0.051,0.0337,4.047,0.0424,0.2232,0.4018,0.5113,1.2709,0.0265,0.092,0.7234,0.3283,0.4669,1.7874,0.0202,0.4783,6.4037,9.1245,0.0119,0.1082,0.1065,12.1759,5.2333,0.9733,1.7917,5.8621,0.024,0.0255,0.047,0.0216,694.4192,483.7796,697.2191,156.6472,5.3593,0.3964,6.3811,13.877,1.9372,2.5207,490.8422,186.4525,51.0988,543.242,35.8608,0.0663,0.0252,0,0
"TCGA-EP-A2KA-01A",1.3749,5.5289,0.1692,8.1677,2.1017,96.7125,0.2212,0.4061,11.3492,10.4568,0.4142,0.5508,2.1406,0.3557,0.1859,2.0065,2.4529,0.7226,0.0136,0.1048,0.2858,29.4923,21.6297,0.288,0.376,0.3837,1.3454,0.6743,1.6704,47.7247,1.0653,2.8627,20.4446,0.1893,2.5349,9.0634,10.5163,0.1259,1.2945,1.2749,4.6572,4.2873,1.0703,2.1522,13.7371,0.1284,0.1592,0.5355,0.0771,2337.8103,2742.0463,1912.9207,133.7426,11.5046,3.3323,47.9216,48.4055,6.1825,10.6041,840.9896,509.4504,229.1089,646.4333,144.4978,2.9319,0.3602,0.0484,0
"TCGA-DD-A3A3-01A",0.795,0,0.4484,12.9889,0.1667,0.5245,0.04,0.2428,1.9459,6.4638,0.0708,0.0797,0.0924,0.0099,0.0226,0.4369,0.1924,0.0184,0.2074,0.0549,0.0134,10.0559,1.3985,1.5564,0.0038,0.1772,2.0254,0.0317,0.1282,3.2473,0.2354,0.6937,2.0219,0,5.9265,5.9919,3.2981,0.0053,0.1163,0.0517,7.2964,1.8228,0.1756,0.0738,2.6927,0.0429,0,0,0,467.2074,353.086,357.9761,30.1796,1.4964,0.5893,4.041,5.5751,0.8516,0.7853,89.7954,28.7928,13.6798,135.1198,7.0894,0.3725,0,0.0129,0
"TCGA-2Y-A9GZ-01A",1.0125,0,11.9207,7.7021,2.3456,65.1784,0.0347,0.4267,4.2338,6.4685,0.3072,0.1557,0.0201,0.1421,0.0196,0.3794,0.0197,0.024,0.0518,0.0583,0.0117,6.7199,1.2892,0.0257,0.0099,0.6899,1.1481,0.0137,0.2386,12.6727,0.0795,0.6548,0.9018,0.0628,0.2979,2.1635,12.0033,0.0231,0.0935,0.0794,10.0884,3.6655,0.4288,0.0641,0.9425,0.0746,0.0528,0.0488,0.0336,67.9862,79.7636,191.7735,3.1131,0.921,0.5592,4.669,3.5322,1.2467,1.5097,49.1316,34.6544,5.3338,127.6619,2.1836,0.6745,0,0.0225,0
"TCGA-DD-A1ED-01A",1.0197,0,2.6374,5.0127,0.2931,13.8989,0.0944,0.0395,4.3858,6.0547,0.4245,0.5687,0.2796,0.5324,0.0842,1.8938,0.2178,0.2058,0.1014,0.3445,0.0708,5.2889,6.3873,0.46,0.0402,0.1935,0.8904,0.1572,0.2388,4.6213,0.5763,1.3713,1.8811,0.2545,0.3666,4.3889,15.345,0.1486,0.6418,0.19,4.9994,2.5127,1.3623,0.2215,1.7395,0.0711,0.0472,0.0523,0.04,242.974,367.0834,301.1144,31.1987,4.383,3.0842,49.7165,36.4589,6.9408,24.0816,619.0328,405.661,114.9335,250.1272,15.5204,0.4722,0.0841,0.0482,0.0356
"TCGA-DD-A11B-01A",1.3757,0.0362,4.2045,11.167,0.4804,49.0041,0.0175,0.3494,3.9648,10.5669,0.219,0.4642,0.1346,0.2383,0.0165,0.2669,0.0165,0.0335,0.2398,0.0533,0.0684,3.0548,6.8712,0.0432,0.0056,1.1306,0.338,0.0231,0.1334,4.1422,0.3143,0.3789,0.6328,0.0703,0.0416,7.9499,7.0849,0.1601,0.2228,0.0348,10.5032,3.3071,0.5195,0.0538,0.4803,0,0.0111,0.0102,0.0188,80.5291,118.2876,153.5192,4.1718,0.6806,0.6459,6.1376,4.8101,1.4146,2.4063,48.5507,28.2028,6.7735,92.3499,3.8099,1.0851,0.0439,0.0189,0
"TCGA-G3-A25Y-01A",1.402,0.1006,2.6322,5.7621,1.1649,56.7826,0.081,0.2964,2.8014,34.0031,0.2389,0.3342,1.4697,0.6592,0.5249,3.7652,0.6663,0.3848,0.3152,0.0232,0.0934,7.1106,4.9368,0.1595,0.1086,2.2634,4.6035,0.0802,0.6379,2.8404,0.9356,3.5039,12.7087,0.5116,2.2077,8.2643,31.8695,0.1392,0.8565,0.4984,11.6344,9.7619,0.9171,0.2961,1.1045,0.0816,0.0867,0.0978,0.098,292.0535,292.341,200.5354,15.613,4.587,3.9188,50.022,33.8991,18.267,11.5217,368.5988,304.7036,144.9532,216.0228,19.0038,1.159,0.0381,0.0656,0
"TCGA-FV-A3R2-11A",0.7851,0,1.7473,9.8018,0.4274,144.8301,1.727,0.1754,3.0341,7.1556,0.5368,0.9068,0.4966,0.2466,0.2733,2.4537,0.1622,0.1242,0.0284,0.2725,0.0453,9.7586,1.7003,0.2,0.0289,0.2267,0.5099,0.04,0.4788,6.6663,0.3859,3.255,6.2433,0.061,0.0643,4.3995,10.8506,0.1286,0.574,0.3051,6.5701,2.6422,0.9067,0.5396,1.6563,0.0241,0.0128,0.0237,0.0544,223.1748,472.7099,256.3228,15.5663,4.2186,3.7081,21.8341,25.1322,7.5978,7.924,264.165,185.8581,47.5871,239.2273,13.066,3.0871,0.0127,0.0218,0
"TCGA-DD-A73D-01A",2.5422,0.0087,3.1029,1.9453,2.1583,0.1813,0.007,0.1518,18.8284,3.9224,0.16,0.0872,0.0202,0.1389,0.0132,0.1542,0.0396,0,0.2384,0.0214,0.0059,3.8327,0.488,0.026,0.0067,0.6154,0.862,0.0139,0.0642,2.7675,0,0.2839,0.4787,0.0211,0.0334,1.5272,1.3048,0.0078,0.0189,0.0313,7.4454,6.7196,0.1105,0.0323,0.1443,0,0.0133,0.0123,0,113.7686,77.687,264.9513,2.92,0.4965,0.2872,2.4792,2.4122,0.7702,1.9243,33.1896,25.8819,16.8969,151.0758,9.3768,0.0902,0.0396,0.034,0
