"","StromalScore","ImmuneScore","ESTIMATEScore","TumorPurity"
"TCGA-DD-AACK-01A",-897.192346785533,201.633899877,-695.558446908533,0.876194665163088
"TCGA-DD-AADA-01A",-156.219973506283,1054.68506319678,898.465089690499,0.740574481530264
"TCGA-DD-A3A5-01A",-479.687582627774,168.622529789115,-311.065052838659,0.847612693745751
"TCGA-DD-A3A5-11A",-702.293985261159,57.6644643298335,-644.629520931325,0.872567209651261
"TCGA-CC-A7IJ-01A",922.988330782282,1939.54403249244,2862.53236327472,0.518950374670539
"TCGA-RC-A6M5-01A",473.727275243847,275.252165671269,748.979440915116,0.755139987721533
"TCGA-DD-AACY-01A",-588.902367831645,372.284880089977,-216.617487741668,0.8401751232211
"TCGA-BC-A10R-11A",125.559178798308,1337.66174781755,1463.22092661586,0.682388577594086
"TCGA-DD-AAW0-01A",148.260239938824,1129.61336734306,1277.87360728188,0.702021498751654
"TCGA-DD-A39X-01A",-279.284256690497,597.783733492011,318.499476801514,0.795030036439314
"TCGA-DD-AAD3-01A",172.334222738357,740.09190592579,912.426128664147,0.739195838017565
"TCGA-DD-AAW2-01A",-652.321151725299,-174.523272789107,-826.844424514406,0.885319319265083
"TCGA-DD-AAD2-01A",433.626360212746,1047.33635179019,1480.96271200294,0.68048255794353
"TCGA-DD-AACN-01A",-145.748747318583,404.041250713181,258.292503394597,0.800359594400603
"TCGA-5C-A9VG-01A",-266.122952622041,-232.524307653264,-498.647260275305,0.861899988807791
"TCGA-G3-A25X-01A",64.8234826339982,1542.71066234264,1607.53414497664,0.666751710189328
"TCGA-DD-A39X-11A",-233.205138298194,789.607689793511,556.402551495317,0.773367336322853
"TCGA-BC-A10R-01A",47.8560131597413,61.0226742957006,108.878687455442,0.813314859505111
"TCGA-BC-A3KF-01A",-667.336279178623,-25.491245534779,-692.827524713402,0.876001393625126
"TCGA-RG-A7D4-01A",-940.429173066346,1555.24092240027,614.811749333921,0.767903552064028
"TCGA-G3-AAV4-01A",-763.929367360832,-42.2061935248772,-806.135560885709,0.883901764299269
"TCGA-2Y-A9H7-01A",-1010.61540325784,371.123858529211,-639.491544728631,0.872198541582517
"TCGA-DD-A11D-01A",-492.666633089019,92.3354407145538,-400.331192374465,0.854492508383524
