"gene","p.value"
"ADORA2A",0.00111955600232886
"TDO2",0.0133998094746588
"PVR",0.0437825248623871
"TNFRSF14",0.0515900231791641
"TNFSF18",0.06017887317673
"BTN2A1",0.0842836012330599
"IDO1",0.108359454925507
"CD274",0.136555472545364
"HLA-DQA1",0.138312855222945
"KIR2DL4",0.169193094139343
"PDCD1LG2",0.185642514185535
"BTNL3",0.194703260314205
"PDCD1",0.262510712227606
"LGALS9",0.269320492880753
"BTNL9",0.323665208777786
"CD226",0.325102859759742
"CD86",0.339411592349963
"KIR2DL3",0.364955643742955
"HLA-DOB",0.379406593946983
"TNFRSF9",0.400614563283939
"HAVCR2",0.425645682211037
"BTN3A1",0.429056496561345
"HLA-DPB1",0.429338181700454
"VTCN1",0.458582622631669
"CD70",0.485491139762477
"CD47",0.490016900494287
"CD160",0.490019719532041
"TNFSF4",0.497358371363629
"CEACAM1",0.508000170001948
"HLA-G",0.563369379816952
"CTLA4",0.598117590873422
"HLA-DRB5",0.615916074439237
"BTN2A2",0.620546992484407
"TNFRSF4",0.620812183210886
"TNFSF14",0.637275310692374
"HLA-A",0.649947942498159
"KIR2DL1",0.655265750645152
"HLA-DMB",0.656222967783125
"ICOSLG",0.679466390535711
"HLA-DMA",0.684085658205641
"KIR3DL2",0.690661448327833
"HLA-DRB1",0.694492024098383
"HLA-DRA",0.713131513360535
"CD276",0.745334973842883
"TIGIT",0.751564730240127
"HLA-DQB1",0.759879758710876
"BTLA",0.764367715104996
"ICOS",0.775194457335276
"KIR3DL1",0.778825712427471
"HLA-DPA1",0.782005783489757
"TNFRSF18",0.783518491051941
"LAG3",0.78980526474164
"SIRPA",0.791219383608083
"CD28",0.79472890230985
"CD209",0.808702399757281
"KIR3DL3",0.861893825459493
"TNFSF9",0.8723306504533
"CD27",0.88329570167385
"CD96",0.887832640748726
"KIR2DS4",0.912787561444284
"HLA-E",0.920881255040066
"HLA-F",0.924883018673816
"CD40LG",0.941217894594236
"HLA-DOA",0.954876722642625
"CD80",0.956005926852632
"HLA-B",0.995886515520395
"CD40",0.996295471059085
"HLA-C",0.996462780424103
