"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KEGG_PROTEIN_EXPORT",0.672713034840843,-0.0461976751427775,8.34432911635757,2.48658353303364e-13,2.78714347048587e-11,19.9234149541762
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.7340505711766,-0.030260566817124,8.30811370165764,2.99692846288804e-13,2.78714347048587e-11,19.7429227878837
"KEGG_RNA_POLYMERASE",0.685819183859802,-0.0405205773828578,8.09443615212811,8.985746440033e-13,5.57116279282046e-11,18.6813390446015
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.525754983269434,-0.0538946588838672,7.76319290703508,4.86652759800982e-12,2.19407447416064e-10,17.0485215232027
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",0.708099112264727,-0.0427866243560786,7.72527988168049,5.89804966172214e-12,2.19407447416064e-10,16.8627529652296
"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.619233237459347,-0.0423767625940154,7.55598343075863,1.38735473848725e-11,4.30079968931049e-10,16.0363209522576
"KEGG_LINOLEIC_ACID_METABOLISM",-0.559332717122628,-0.00615708006773852,-7.43637801365535,2.53072265660981e-11,5.41345002344244e-10,15.4556913597341
"KEGG_MISMATCH_REPAIR",0.776007516779927,-0.0374557807568093,7.42971042316097,2.61674927119331e-11,5.41345002344244e-10,15.4234060836526
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.668685816999695,-0.0459726264347806,7.41152188919237,2.86645480372757e-11,5.41345002344244e-10,15.335380571556
"KEGG_HOMOLOGOUS_RECOMBINATION",0.734504428755149,-0.0445048226264477,7.40848048608153,2.91045700185077e-11,5.41345002344244e-10,15.3206678867084
"KEGG_BASE_EXCISION_REPAIR",0.62870711073604,-0.0507266110938863,7.34775820701711,3.94351047174002e-11,6.55232185169308e-10,15.0273232320557
"KEGG_SPLICEOSOME",0.74810199627368,-0.0261949822572323,7.32178856491192,4.48955217129854e-11,6.55232185169308e-10,14.9021003281343
"KEGG_RETINOL_METABOLISM",-0.713645931132173,-0.011930923330963,-7.31781012858492,4.57957978881775e-11,6.55232185169308e-10,14.8829293134551
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.573057097770753,-0.039902813528639,7.25448667579353,6.27875811662603e-11,8.3417786406603e-10,14.5782477522086
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.586928780072571,-0.0495551613104308,7.13746590009371,1.12238856006353e-10,1.39176181447877e-09,14.0175316158545
"KEGG_TRYPTOPHAN_METABOLISM",-0.677424522647484,-0.0116186019082323,-7.06213088755065,1.62869366991719e-10,1.89335639127873e-09,13.6582218445181
"KEGG_ARACHIDONIC_ACID_METABOLISM",-0.414697281318739,-0.00951945950615062,-6.94121129466374,2.95231285107596e-10,3.23017759000076e-09,13.0843555245311
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.530118014209811,-0.0454093207820191,6.92588077928674,3.18275453051734e-10,3.28884634820125e-09,13.0118587760207
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",-0.663988808341155,-0.00624282145379074,-6.8758555519234,4.06571393474438e-10,3.98011995717081e-09,12.7757109927062
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",-0.418568485951814,-0.0350365494888414,-6.82304823543928,5.26120816380591e-10,4.8929235923395e-09,12.5271352512985
"KEGG_RNA_DEGRADATION",0.593075828432653,-0.0398057247311343,6.79469428333872,6.04039739493596e-10,5.35006626408614e-09,12.393971311248
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",-0.698713906086792,-0.0139316482081008,-6.72954658488705,8.2895575161695e-10,6.73571864370416e-09,12.0888284361264
"KEGG_PROTEASOME",0.674794347169492,-0.0358572356104419,6.72856498753808,8.32911445189224e-10,6.73571864370416e-09,12.0842396477106
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",-0.369384468453363,0.00221363710292967,-6.70495172464366,9.33899356800406e-10,7.23772001520315e-09,11.9739323758905
"KEGG_PYRIMIDINE_METABOLISM",0.443330622213343,-0.0458871840789066,6.66867029534188,1.11310760681447e-09,8.28152059469969e-09,11.8047503093766
"KEGG_HUNTINGTONS_DISEASE",0.473575543552639,-0.0480762776403969,6.64336930111384,1.25779090942781e-09,8.99804265975277e-09,11.6869906293573
"KEGG_DNA_REPLICATION",0.731737906475194,-0.0447330119193167,6.33668272390767,5.45189217265692e-09,3.75574794116365e-08,10.2746706234163
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",-0.582507457013177,-0.0118552335002297,-6.27058794600516,7.45069413528465e-09,4.94938967558195e-08,9.97414655632084
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",-0.472709099483909,-0.0169591357299056,-6.25870273997406,7.87998771051917e-09,5.0540610832985e-08,9.92025799936179
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.420276763697393,-0.045593093173071,6.22339501671654,9.30429818470363e-09,5.76866487451625e-08,9.76044659037495
"KEGG_NON_HOMOLOGOUS_END_JOINING",0.646696802283673,-0.0445671374795631,6.21371742369659,9.73713222775254e-09,5.77951688832115e-08,9.71671627588796
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM",-0.46810336186613,-0.00537176035023472,-6.20925684556377,9.94325486162778e-09,5.77951688832115e-08,9.69657079645435
"KEGG_CELL_CYCLE",0.55462053762019,-0.0516569147462052,6.16364643297979,1.23137462592634e-08,6.94047516431208e-08,9.49096596122856
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",-0.631199275911322,-0.016580459356979,-6.0562970080596,2.03124288070632e-08,1.11120934062169e-07,9.00988820633653
"KEGG_FATTY_ACID_METABOLISM",-0.683437950791065,-0.0114173810236124,-5.9188849155796,3.83257043984329e-08,2.03673743374529e-07,8.40010118580425
"KEGG_OTHER_GLYCAN_DEGRADATION",0.475202137212327,-0.0458348785178662,5.83909164004969,5.52404221462816e-08,2.78905765100417e-07,8.04922370237952
"KEGG_PROPANOATE_METABOLISM",-0.634009802196379,-0.0170675743534295,-5.83813905042085,5.54812543479325e-08,2.78905765100417e-07,8.04504948432683
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.421418164953956,-0.0420556666537035,5.81450873490946,6.17967860605437e-08,3.0247900545424e-07,7.94161399586389
"KEGG_PPAR_SIGNALING_PATHWAY",-0.478222116119818,-0.0100132545020024,-5.78274026309944,7.14114224859299e-08,3.40577553394435e-07,7.80289676482816
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",-0.514119001581622,0.00143409994048488,-5.76744604199331,7.65497167397346e-08,3.55956182839766e-07,7.73625496714336
"KEGG_ALZHEIMERS_DISEASE",0.391741395304628,-0.0472996115608295,5.72165560672166,9.4201821079538e-08,4.27354602946197e-07,7.53728307944713
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",-0.73829491742541,-0.00676525643961906,-5.71143974368072,9.86544636197911e-08,4.36898338887646e-07,7.49300609872097
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",-0.651703326334588,-0.0127194749709226,-5.70533330134377,1.0141392387001e-07,4.38674182321437e-07,7.46655986743564
"KEGG_OOCYTE_MEIOSIS",0.370068434295781,-0.0428741722786955,5.68681902954407,1.1025148714445e-07,4.66063104746992e-07,7.38646845205286
"KEGG_BETA_ALANINE_METABOLISM",-0.578731122555159,-0.0102039147811064,-5.66544955862078,1.21393565781971e-07,5.01760071898815e-07,7.29419769517086
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",-0.393338172723905,-0.0162637950317984,-5.62375109074214,1.4640613557447e-07,5.91990026453291e-07,7.11468435948369
"KEGG_STARCH_AND_SUCROSE_METABOLISM",-0.435629108993044,0.000838281337033424,-5.56061738802225,1.94168823815116e-07,7.68412792119395e-07,6.84425764961832
"KEGG_BUTANOATE_METABOLISM",-0.569302696180698,-0.00316930123906169,-5.52779860989398,2.24722621685794e-07,8.70800159032452e-07,6.70434127781777
"KEGG_PURINE_METABOLISM",0.273449085101131,-0.0441758346183417,5.45806673931325,3.06101752473367e-07,1.16193726449074e-06,6.40857698098905
"KEGG_NOTCH_SIGNALING_PATHWAY",0.417191757939561,-0.0511969517905287,5.39095990452503,4.11343860468754e-07,1.53019916094377e-06,6.12593789434488
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",-0.432585380415232,-0.019501549635169,-5.37098222282397,4.49006286945867e-07,1.6375523406261e-06,6.04217967188242
"KEGG_TYROSINE_METABOLISM",-0.42998918880692,-0.0226585587397109,-5.2507330246645,7.58041456724854e-07,2.71145597982351e-06,5.54181793116959
"KEGG_LYSOSOME",0.391440990219298,-0.039273943632143,5.23904638133169,7.97354074209777e-07,2.79826146798148e-06,5.49354152299986
"KEGG_OLFACTORY_TRANSDUCTION",-0.22876595010316,0.157299379636316,-5.2053769705929,9.22075507109847e-07,3.17603785782281e-06,5.35481092678081
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",-0.378116664520803,-0.0227512263118815,-5.17090789383079,1.06943220472086e-06,3.61662527414691e-06,5.21333491567248
"KEGG_ARGININE_AND_PROLINE_METABOLISM",-0.391296190987697,-0.0086471460886267,-5.13004945767471,1.27401319219634e-06,4.23154381693784e-06,5.04636192890183
"KEGG_RIBOSOME",0.735441141962132,-0.0286252139463331,5.04550217573985,1.82569724444052e-06,5.95753837659538e-06,4.70339477419611
"KEGG_PHENYLALANINE_METABOLISM",-0.452708074700541,0.00383452417312898,-4.98036539354302,2.40339726913827e-06,7.70744641482272e-06,4.44155000096614
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.333925418553859,-0.0447649203755882,4.97373124902686,2.47136729972223e-06,7.79109013132772e-06,4.41499936355029
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.399956547916299,-0.0573970087738052,4.92268989437874,3.06067348201207e-06,9.48808779423742e-06,4.21146431765569
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",-0.547605265156808,0.0141167832929152,-4.89999021850744,3.36472040054155e-06,1.02596392541103e-05,4.12136900971956
"KEGG_PRION_DISEASES",-0.3468784177555,-0.0503472727486717,-4.79849763340457,5.12295146238202e-06,1.5368854387146e-05,3.72178033550578
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",-0.382883864980695,-0.0267846043150814,-4.77200761475706,5.71226979325419e-06,1.68647965324648e-05,3.61836833462003
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",-0.482527453065025,0.00468564353375921,-4.76140933483269,5.96603125633202e-06,1.73387783387149e-05,3.57709823923964
"KEGG_ENDOCYTOSIS",0.320610780884332,-0.0409670378811255,4.69996515472941,7.66727368537531e-06,2.19401985458432e-05,3.33900890435354
"KEGG_MTOR_SIGNALING_PATHWAY",0.318222216641414,-0.0425821967154584,4.65332527431998,9.26377811676867e-06,2.61070110563481e-05,3.15963842802346
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.310897519282091,-0.042525460556548,4.60547297515687,1.12347933907393e-05,3.11891279205597e-05,2.97683599120812
"KEGG_NITROGEN_METABOLISM",-0.343395452717194,0.00193112375168821,-4.60074291260816,1.1450334205624e-05,3.13200317977364e-05,2.95883477444676
"KEGG_RIBOFLAVIN_METABOLISM",0.358565463261952,-0.0442858329478354,4.58593080433451,1.21514948862549e-05,3.27562036064262e-05,2.9025441999137
"KEGG_THYROID_CANCER",0.339700290469699,-0.0489497580640601,4.47285909674958,1.90551339925491e-05,5.0632213180202e-05,2.47687427789592
"KEGG_HISTIDINE_METABOLISM",-0.373113001097618,-0.0268315649615596,-4.46028927982933,2.00239218464368e-05,5.24570346962993e-05,2.430000080914
"KEGG_REGULATION_OF_AUTOPHAGY",0.270215937262161,0.0262982152178545,4.44462667726006,2.12977482059217e-05,5.50191828652978e-05,2.37171894090781
"KEGG_SELENOAMINO_ACID_METABOLISM",0.254568685924967,-0.050973171122461,4.26806041142041,4.22905085670295e-05,0.00010775389854065,1.72457334485201
