"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-DD-A1EC-01A",0.0280641866257815,0,0.0197875667218661,0.217106605928048,0,0,0.0369871030475285,0.0807215098298227,0.113727122853278,0.115006856845794,0,0.0511940052994345,0,0.096522526514426,0.0988174118951917,0.0890752358259361,0.0188375308121528,0,0.0341523378007396,0,0,0,0.08,0.141316315312003,1.04789370940429
"TCGA-DD-AAE2-01A",0.0447439770205034,0,0.00567885981103385,0.269231758750287,0,0.0624105951840788,0,0.0615143989600169,0.0502540407118617,0,0,0.046618425787152,0.0084479813866138,0.0298046198013003,0.224106342689888,0.142207598963981,0.0299209812144299,0,0.0250604197188528,0,0,0,0.09,0.118949697640951,1.07282942872815
"TCGA-DD-A39W-11A",0.0766171987617857,0,0.00601623193401466,0.0402471759764389,0,0.154399721428214,0,0.018388582188271,0.0334856536804605,0,0.0714738225751348,0.0449006776435991,0.0633833625178296,0.0237658529864437,0.0425624832499149,0.386072847681999,0,0,0.0217514243829997,0,0,0.0169349649928941,0.43,0.0166966349216358,1.0789020055334
"TCGA-DD-AAD0-01A",0.0187313803844415,0,0.00128184422287217,0,0,0.174915520422336,0,0.00993514501257595,0.0292992337814612,0,0,0.0236228938032244,0,0.313270368602616,0.0617884084605196,0.145405000012021,0.00118631961306011,0,0.215034440611567,0,0,0.00552944507330592,0.1,0.103323126454137,1.05679370729965
"TCGA-DD-A11D-11A",0.112929412522083,0,0,0.134611149946825,0,0.192497630534784,0.00766081633543151,0,0.0821499896207038,0,0,0.0303576268382993,0.0255829714101444,0,0.142245183061659,0.168034922172071,0.0106153010131943,0,0.0722974907390348,0,0,0.0210175058057696,0.08,0.141956490435838,1.0341235455128
"TCGA-EP-A2KB-01A",0.011742453041999,0,0.00625637125784297,0.184359492173632,0,0.0992131025801055,0,0.0549360925382195,0.0783019966034166,0,0,0.0662179207351784,0.0157541738703802,0.102723631452754,0.0709427259878884,0.261355496608523,0.0220458429514809,0,0.0261507001985789,0,0,0,0.79,-0.0167401865417095,1.10195703852412
"TCGA-G3-A7M9-01A",0.143647091601304,0,0.0111926833376532,0.170664708176508,0,0,0,0.0555629807634201,0.0766801871572918,0,0,0.0558778630809658,0,0.334879536105149,0.0309657058450241,0.0371989755785469,0.0208359062715168,0,0.0555608817015593,0,0,0.00693348038106096,0.02,0.207275947454255,1.00989227617318
"TCGA-DD-AAVW-01A",0.0723492280087811,0,0,0.0802127834458981,0,0.340791535403877,0,0,0.0890430182967319,0,0,0.104208443533304,0.0243302739682713,0.0678265745444817,0.0308446857900911,0.0748141838126002,0.0327409903206554,0,0.0798291535182898,0,0,0.00300912935701833,0.19,0.0714312559614908,1.07323047890858
"TCGA-DD-AACQ-01A",0.045210454848235,0,0.0398014734758794,0.166303026705539,0,0,0,0.102162302678771,0.0508357192274938,0,0.0435246528228336,0.0354359313182158,0.00302091756737319,0.0925769447087963,0.290296388870783,0.11416503558732,0.00364782352281225,0,0.00182843183124874,0,0,0.011190896834698,0.2,0.0602253753373991,1.1204296271793
"TCGA-DD-A1EF-01A",0.151073450753163,0,0,0.109806600592588,0,0.14423191070725,0,0.0597430132792112,0.142776575385037,0,0,0.0378203583758638,0,0.114872637572148,0.0544578388803626,0.0668638057086694,0.0774868173213399,0,0.0408669914243665,0,0,0,0.03,0.196466637478978,1.00975866969672
"TCGA-DD-AAVZ-01A",0.0852653709796487,0,0,0.0680558125149254,0,0.409101547097641,0,0,0.0200775975416203,0,0,0.0450072337575126,0.0317688017365893,0.0670575031782699,0.0418419938050435,0.090389687822275,0.0371465520358737,0,0.0979323905674733,0,0,0.00635550896312774,0.73,-0.0109646746624052,1.09632959582638
