"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.249645340152252,-0.0344579076335764,2.71537349139028,0.0178998386838847,0.0311156074317996,-4.18256974711665
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.328139318522465,-0.0276918920069323,2.70135795432756,0.0183816300089333,0.0316572516820517,-4.20838860543845
"KEGG_RIBOSOME",0.636699739454601,-0.0777373631952207,2.69125349070868,0.0187368254236257,0.0319729314568292,-4.22698044862292
"KEGG_P53_SIGNALING_PATHWAY",0.23743754906664,-0.0644266595670805,2.67985924934834,0.0191454139765555,0.0323731545421756,-4.24792271445138
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.344812239147626,-0.0360080754113571,2.6681316835966,0.0195750454699823,0.0328014275442947,-4.26945203586389
"KEGG_GLIOMA",0.262509610588387,-0.0483993057039158,2.60399462192392,0.022096302370088,0.0366956450074676,-4.38671427615032
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",-0.255673706735633,-0.0126255696309907,-2.57675020865192,0.023260497617942,0.0382871907693559,-4.43626720197541
"KEGG_GLUTATHIONE_METABOLISM",-0.267308763365799,-0.015183506469905,-2.53817268956357,0.0250113326730411,0.0408079638349617,-4.50615302540689
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",-0.362101189682763,0.0821426281881407,-2.47652340002999,0.028077032917142,0.0454115488920732,-4.6171124140559
"KEGG_FOCAL_ADHESION",0.29397819894827,-0.0378666678484531,2.43847507054777,0.0301466809608196,0.04833864360959,-4.68512214629668
"KEGG_GALACTOSE_METABOLISM",-0.335895015578875,-0.0293991973672873,-2.43028608219454,0.0306109299104491,0.0486635296012268,-4.69971032423866
